time,latitude,longitude,depth,mag,id,place
2003-07-15T20:27:50.530Z,-2.598,68.382,10,7.6,usp000c2ka,Carlsberg Ridge
2003-06-20T06:19:38.910Z,-7.606,-71.722,558.1,7.1,usp000c0ag,"Amazonas, Brazil"
2003-05-26T19:23:27.940Z,2.354,128.855,31,7,usp000by7n,"Halmahera, Indonesia"
2003-05-26T09:24:33.400Z,38.849,141.568,68,7,usp000by66,"near the east coast of Honshu, Japan"
2003-03-17T16:36:17.310Z,51.272,177.978,33,7.1,usp000bsvs,"Rat Islands, Aleutian Islands, Alaska"
2003-01-22T02:06:34.610Z,18.77,-104.104,24,7.6,usp000bnyr,"offshore Colima, Mexico"
2003-01-20T08:43:06.070Z,-10.491,160.77,33,7.3,usp000bnvq,Solomon Islands
2002-11-17T04:53:53.540Z,47.824,146.209,459.1,7.3,usp000bhv1,northwest of the Kuril Islands
2002-11-03T22:12:41.000Z,63.517,-147.444,4.9,7.9,usp000bg0m,Central Alaska
2002-11-02T01:26:10.700Z,2.824,96.085,30,7.4,usp000bfuz,"Simeulue, Indonesia"
2002-10-10T10:50:20.570Z,-1.757,134.297,10,7.6,usp000be54,"near the north coast of Papua, Indonesia"
2002-09-08T18:44:23.710Z,-3.302,142.945,13,7.6,usp000bbpf,"near the north coast of New Guinea, Papua New Guinea"
2002-08-19T11:08:24.310Z,-23.884,178.495,675.4,7.7,usp000ba6m,south of the Fiji Islands
2002-08-19T11:01:01.190Z,-21.696,-179.513,580,7.7,usp000ba6g,Fiji region
2002-06-28T17:19:30.270Z,43.752,130.666,566,7.3,usp000b73z,"Jilin-Heilongjiang border region, China"
2002-04-26T16:06:07.000Z,13.088,144.619,85.7,7.1,usp000b37m,Guam region
2002-03-31T06:52:50.490Z,24.279,122.179,32.8,7.1,usp000b1e2,Taiwan region
2002-03-05T21:16:09.130Z,6.033,124.249,31,7.5,usp000azqw,"Mindanao, Philippines"
2002-03-03T12:08:19.740Z,36.502,70.482,225.6,7.4,usp000azhc,"Hindu Kush region, Afghanistan"
2002-01-02T17:22:48.760Z,-17.6,167.856,21,7.2,usp000avpw,Vanuatu
2001-12-12T14:02:35.040Z,-42.813,124.688,10,7.1,usp000aufx,south of Australia
2001-11-14T09:26:10.010Z,35.946,90.541,10,7.8,usp000asvm,"southern Qinghai, China"
2001-10-31T09:10:20.000Z,-5.912,150.196,33,7,usp000arz5,"New Britain region, Papua New Guinea"
2001-10-19T03:28:44.460Z,-4.102,123.907,33,7.5,usp000ar78,Banda Sea
2001-10-12T15:02:16.840Z,12.686,144.98,37,7,usp000aqsu,Guam region
2001-08-21T06:52:06.250Z,-36.813,-179.575,33,7.1,usp000amsn,east of the North Island of New Zealand
2001-07-07T09:38:43.520Z,-17.543,-72.077,33,7.6,usp000aj40,near the coast of southern Peru
2001-06-23T20:33:14.130Z,-16.265,-73.641,33,8.4,official20010623203314130_33,near the coast of southern Peru
2001-06-03T02:41:57.160Z,-29.666,-178.633,178.1,7.2,usp000afyg,"Kermadec Islands, New Zealand"
2001-02-24T07:23:48.730Z,1.271,126.249,35,7.1,usp000aa8b,Molucca Sea
2001-02-13T19:28:30.260Z,-4.68,102.562,36,7.4,usp000a9kc,"southern Sumatra, Indonesia"
2001-01-26T03:16:40.500Z,23.419,70.232,16,7.7,usp000a8ds,"Gujarat, India"
2001-01-13T17:33:32.380Z,13.049,-88.66,60,7.7,usp000a7m5,offshore El Salvador
2001-01-10T16:02:44.230Z,57.078,-153.211,33,7,usp000a7f2,"Kodiak Island region, Alaska"
2001-01-09T16:49:28.000Z,-14.928,167.17,103,7.1,usp000a7cv,Vanuatu
2001-01-01T06:57:04.170Z,6.898,126.579,33,7.5,usp000a70h,"Mindanao, Philippines"
2000-12-06T17:11:06.400Z,39.566,54.799,30,7,usp000a5m7,Turkmenistan
2000-11-17T21:01:56.490Z,-5.496,151.781,33,7.8,usp000a45f,"New Britain region, Papua New Guinea"
2000-11-16T07:42:16.930Z,-5.233,153.102,30,7.8,usp000a3sp,"New Ireland region, Papua New Guinea"
2000-11-16T04:54:56.740Z,-3.98,152.169,33,8,usp000a3qq,"New Ireland region, Papua New Guinea"
2000-10-29T08:37:08.770Z,-4.766,153.945,50,7,usp000a2mw,"New Ireland region, Papua New Guinea"
2000-10-04T16:58:44.310Z,-15.421,166.91,23,7,usp000a18v,Vanuatu
